light,mobility,resilience,recovery,discipline,intellect,strength,class,mode,tiers_mob,tiers_res,tiers_rec,tiers_dis,tiers_int,tiers_str,tiers,total
1567,102,46,81,59,76,71,Titan,Control,10,4,8,5,7,7,41,435
1569,27,60,33,23,30,72,Titan,Control,2,6,3,2,3,7,23,245
1560,102,30,100,71,102,44,Warlock,Trials,10,3,10,7,10,4,44,449
1526,102,28,100,31,90,39,Hunter,Control,10,2,10,3,9,3,37,390
1557,19,90,101,82,40,52,Titan,Trials,1,9,10,8,4,5,37,384
1560,48,100,103,62,90,46,Titan,Trials,4,10,10,6,9,4,43,449
1560,101,43,91,71,72,22,Hunter,Trials,10,4,9,7,7,2,39,400
1549,102,22,98,71,52,34,Hunter,Control,10,2,9,7,5,3,36,379
1574,45,95,81,65,62,29,Titan,Control,4,9,8,6,6,2,35,377
1582,80,31,103,11,87,32,Hunter,Control,8,3,10,1,8,3,33,344
1534,42,33,61,47,82,32,Hunter,Control,4,3,6,4,8,3,28,297
1583,35,96,86,52,89,26,Titan,Control,3,9,8,5,8,2,35,384
1538,71,50,71,52,81,91,Warlock,Control,7,5,7,5,8,9,41,416
1570,93,82,41,48,55,69,Titan,Control,9,8,4,4,5,6,36,388
1558,101,26,100,72,60,61,Hunter,Trials,10,2,10,7,6,6,41,420
1554,92,28,100,23,100,54,Hunter,Trials,9,2,10,2,10,5,38,397
1564,11,49,86,81,36,20,Warlock,Rumble,1,4,8,8,3,2,26,283
1577,63,33,101,101,43,23,Warlock,Control,6,3,10,10,4,2,35,364
1563,53,92,101,48,101,48,Titan,Control,5,9,10,4,10,4,42,443
1557,43,41,95,52,104,33,Warlock,Trials,4,4,9,5,10,3,35,368
1542,53,52,23,102,37,25,Warlock,Survival,5,5,2,10,3,2,27,292
1572,103,18,100,34,93,12,Hunter,Control,10,1,10,3,9,1,34,360
1558,101,26,100,72,60,61,Hunter,Trials,10,2,10,7,6,6,41,420
1568,100,38,100,92,32,40,Hunter,Control,10,3,10,9,3,4,39,402
1577,73,36,72,81,44,37,Hunter,Control,7,3,7,8,4,3,32,343
1402,79,34,87,47,68,27,Hunter,Control,7,3,8,4,6,2,30,342
1551,108,23,103,44,76,51,Hunter,Trials,10,2,10,4,7,5,38,405
1556,108,18,104,36,105,57,Hunter,Trials,10,1,10,3,10,5,39,428
1582,102,36,101,63,71,34,Hunter,Control,10,3,10,6,7,3,39,407
1552,62,77,69,52,75,44,Hunter,Control,6,7,6,5,7,4,35,379
1557,92,22,100,88,33,76,Hunter,Trials,9,2,10,8,3,7,39,411
1558,101,28,107,46,80,41,Hunter,Trials,10,2,10,4,8,4,38,403
1589,35,85,68,43,83,33,Titan,Control,3,8,6,4,8,3,32,347
1567,101,12,91,29,66,39,Hunter,Control,10,1,9,2,6,3,31,338
1555,42,80,93,45,43,60,Titan,Trials,4,8,9,4,4,6,35,363
1560,61,39,104,100,34,8,Warlock,Trials,6,3,10,10,3,0,32,346
1526,93,25,105,94,39,42,Warlock,Control,9,2,10,9,3,4,37,398
1515,47,29,109,101,57,18,Warlock,Control,4,2,10,10,5,1,32,361
1587,96,23,91,44,90,28,Hunter,Control,9,2,9,4,9,2,35,372
1514,103,27,96,39,52,56,Hunter,Control,10,2,9,3,5,5,34,373
1556,102,25,101,18,91,49,Hunter,Trials,10,2,10,1,9,4,36,386
1519,29,102,33,19,102,103,Warlock,Control,2,10,3,1,10,10,36,388
1558,29,33,110,75,70,30,Warlock,Trials,2,3,11,7,7,3,33,347
1552,114,18,89,47,61,46,Hunter,Control,11,1,8,4,6,4,34,375
1555,79,49,101,51,74,21,Hunter,Trials,7,4,10,5,7,2,35,375
1554,52,55,109,30,94,62,Hunter,Trials,5,5,10,3,9,6,38,402
1581,72,40,77,56,54,32,Hunter,Control,7,4,7,5,5,3,31,331
1585,34,50,42,29,59,39,Titan,Control,3,5,4,2,5,3,22,253
1560,44,68,85,42,91,43,Hunter,Trials,4,6,8,4,9,4,35,373
1558,101,28,104,41,43,103,Hunter,Trials,10,2,10,4,4,10,40,420
1542,41,36,104,103,50,31,Warlock,Control,4,3,10,10,5,3,35,365
1554,100,22,101,32,84,61,Hunter,Control,10,2,10,3,8,6,39,400
1584,96,38,101,79,42,55,Hunter,Control,9,3,10,7,4,5,38,411
1579,99,40,105,54,70,77,Hunter,Control,9,4,10,5,7,7,42,445
1519,51,42,41,40,24,30,Hunter,Control,5,4,4,4,2,3,22,228
1570,90,18,77,63,58,32,Hunter,Control,9,1,7,6,5,3,31,338
1542,44,98,57,42,73,36,Hunter,Control,4,9,5,4,7,3,32,350
1554,90,50,100,38,103,28,Hunter,Trials,9,5,10,3,10,2,39,409
1555,58,72,36,103,46,72,Warlock,Control,5,7,3,10,4,7,36,387
1550,102,36,81,57,71,39,Hunter,Trials,10,3,8,5,7,3,36,386
1573,66,38,95,38,83,60,Hunter,Control,6,3,9,3,8,6,35,380
1557,52,60,84,81,80,52,Warlock,Trials,5,6,8,8,8,5,40,409
1579,103,42,100,56,70,35,Hunter,Control,10,4,10,5,7,3,39,406
1582,61,38,100,73,86,18,Warlock,Control,6,3,10,7,8,1,35,376
1542,100,33,100,69,65,13,Hunter,Control,10,3,10,6,6,1,36,380
1553,92,33,89,32,103,32,Hunter,Control,9,3,8,3,10,3,36,381
1576,20,41,101,84,30,38,Warlock,Control,2,4,10,8,3,3,30,314
1585,37,53,94,60,59,54,Hunter,Survival,3,5,9,6,5,5,33,357
1553,55,49,104,50,103,47,Warlock,Trials,5,4,10,5,10,4,38,408
1550,37,58,96,58,62,26,Warlock,Control,3,5,9,5,6,2,30,337
1560,102,34,101,93,40,54,Hunter,Trials,10,3,10,9,4,5,41,424
1496,97,38,16,12,34,59,Titan,Control,9,3,1,1,3,5,22,256
1559,66,56,93,103,57,53,Warlock,Trials,6,5,9,10,5,5,40,428
1555,107,38,106,48,82,46,Hunter,Trials,10,3,10,4,8,4,39,427
1519,107,37,80,76,68,22,Hunter,Control,10,3,8,7,6,2,36,390
1569,61,25,100,97,27,20,Hunter,Control,6,2,10,9,2,2,31,330
1560,101,42,73,59,73,50,Hunter,Trials,10,4,7,5,7,5,38,398
1552,63,57,61,53,78,69,Titan,Trials,6,5,6,5,7,6,35,381
1559,40,54,69,63,59,48,Warlock,Trials,4,5,6,6,5,4,30,333
1466,76,31,92,50,48,42,Warlock,Control,7,3,9,5,4,4,32,339
1576,100,63,101,42,100,56,Hunter,Control,10,6,10,4,10,5,45,462
1565,82,87,66,54,53,44,Titan,Control,8,8,6,5,5,4,36,386
1569,66,28,99,88,36,32,Warlock,Control,6,2,9,8,3,3,31,349
1582,25,51,102,27,101,44,Warlock,Control,2,5,10,2,10,4,33,350
1566,81,32,101,81,62,66,Warlock,Control,8,3,10,8,6,6,41,423
1554,101,23,92,22,102,29,Hunter,Control,10,2,9,2,10,2,35,369
1565,66,101,63,67,61,49,Hunter,Control,6,10,6,6,6,4,38,407
1558,85,38,101,42,90,24,Warlock,Trials,8,3,10,4,9,2,36,380
1540,66,37,82,76,60,39,Hunter,Control,6,3,8,7,6,3,33,360
1555,82,19,101,37,109,50,Titan,Trials,8,1,10,3,10,5,37,398
1558,56,103,75,67,68,41,Titan,Trials,5,10,7,6,6,4,38,410
1560,106,34,101,54,93,55,Hunter,Trials,10,3,10,5,9,5,42,443
1562,36,91,96,54,96,40,Warlock,Control,3,9,9,5,9,4,39,413
1576,100,63,101,42,100,56,Hunter,Control,10,6,10,4,10,5,45,462
1558,100,50,102,78,63,36,Hunter,Trials,10,5,10,7,6,3,41,429
1553,100,27,103,47,83,76,Hunter,Trials,10,2,10,4,8,7,41,436
1554,21,42,105,103,30,37,Warlock,Trials,2,4,10,10,3,3,32,338
1576,79,43,75,62,62,39,Hunter,Control,7,4,7,6,6,3,33,360
1560,62,49,101,100,90,38,Warlock,Trials,6,4,10,10,9,3,42,440
1555,35,34,112,30,103,68,Titan,Trials,3,3,11,3,10,6,36,382
1581,60,81,90,30,90,71,Titan,Control,6,8,9,3,9,7,42,422
1558,100,28,103,96,50,55,Hunter,Trials,10,2,10,9,5,5,41,432
1571,55,20,68,47,101,44,Hunter,Survival,5,2,6,4,10,4,31,335
1566,33,45,78,28,47,100,Warlock,Survival,3,4,7,2,4,10,30,331
1550,100,34,92,71,83,52,Hunter,Trials,10,3,9,7,8,5,42,432
1576,63,37,101,52,65,37,Titan,Control,6,3,10,5,6,3,33,355
1568,41,47,63,83,42,79,Warlock,Control,4,4,6,8,4,7,33,355
1559,100,63,101,42,100,56,Hunter,Trials,10,6,10,4,10,5,45,462
1552,74,84,44,50,74,66,Hunter,Trials,7,8,4,5,7,6,37,392
1568,100,27,103,47,83,76,Hunter,Control,10,2,10,4,8,7,41,436
1564,28,48,100,45,24,58,Warlock,Control,2,4,10,4,2,5,27,303
1558,60,101,72,101,51,53,Titan,Trials,6,10,7,10,5,5,43,438
1584,50,61,103,34,105,37,Titan,Control,5,6,10,3,10,3,37,390
1575,66,37,95,62,66,26,Hunter,Control,6,3,9,6,6,2,32,352
1582,39,42,101,100,30,29,Warlock,Control,3,4,10,10,3,2,32,341
1581,42,69,100,105,18,42,Hunter,Control,4,6,10,10,1,4,35,376
1560,54,62,108,102,31,49,Warlock,Trials,5,6,10,10,3,4,38,406
1560,46,55,84,74,67,35,Titan,Trials,4,5,8,7,6,3,33,361
1560,81,38,102,104,27,54,Hunter,Trials,8,3,10,10,2,5,38,406
1558,101,53,90,100,44,47,Hunter,Trials,10,5,9,10,4,4,42,435
1560,33,54,100,80,92,42,Warlock,Trials,3,5,10,8,9,4,39,401
1560,100,50,104,102,45,53,Hunter,Trials,10,5,10,10,4,5,44,454
1560,35,90,71,25,46,44,Titan,Trials,3,9,7,2,4,4,29,311
1570,103,38,104,36,34,100,Hunter,Control,10,3,10,3,3,10,39,415
1563,33,107,90,55,66,40,Titan,Control,3,10,9,5,6,4,37,391
1552,42,28,104,102,100,55,Warlock,Trials,4,2,10,10,10,5,41,431
1555,71,43,102,64,73,39,Titan,Trials,7,4,10,6,7,3,37,392
1551,78,57,89,43,70,59,Hunter,Trials,7,5,8,4,7,5,36,396
1558,100,30,102,72,74,43,Hunter,Trials,10,3,10,7,7,4,41,421
1560,52,42,103,52,101,28,Hunter,Trials,5,4,10,5,10,2,36,378
1560,101,45,103,103,62,43,Hunter,Trials,10,4,10,10,6,4,44,457
1570,103,22,92,52,82,49,Hunter,Control,10,2,9,5,8,4,38,400
1554,50,74,104,41,100,42,Titan,Trials,5,7,10,4,10,4,40,411
1552,31,79,77,36,84,26,Titan,Trials,3,7,7,3,8,2,30,333
1559,100,32,102,50,53,101,Hunter,Trials,10,3,10,5,5,10,43,438
1565,63,54,49,102,44,35,Hunter,Control,6,5,4,10,4,3,32,347
1553,35,101,72,46,70,61,Titan,Trials,3,10,7,4,7,6,37,385
1555,53,54,34,58,102,31,Titan,Trials,5,5,3,5,10,3,31,332
1558,101,32,46,73,61,34,Hunter,Trials,10,3,4,7,6,3,33,347
1578,23,50,101,32,49,81,Titan,Control,2,5,10,3,4,8,32,336
1554,36,23,106,102,63,30,Warlock,Control,3,2,10,10,6,3,34,360
1521,59,21,74,52,89,33,Warlock,Control,5,2,7,5,8,3,30,328
1512,100,51,90,40,70,38,Hunter,Control,10,5,9,4,7,3,38,389
1560,84,34,48,60,63,53,Warlock,Trials,8,3,4,6,6,5,32,342
1555,73,44,64,103,24,78,Hunter,Control,7,4,6,10,2,7,36,386
1587,100,48,56,86,64,66,Hunter,Control,10,4,5,8,6,6,39,420
1560,54,62,108,102,31,49,Warlock,Trials,5,6,10,10,3,4,38,406
1566,103,33,102,30,100,41,Warlock,Control,10,3,10,3,10,4,40,409
1556,31,59,48,82,86,40,Titan,Trials,3,5,4,8,8,4,32,346
1558,71,32,103,101,52,102,Warlock,Trials,7,3,10,10,5,10,45,461
1555,58,37,83,108,41,63,Warlock,Trials,5,3,8,10,4,6,36,390
1550,34,102,36,38,36,56,Titan,Trials,3,10,3,3,3,5,27,302
1582,103,30,100,70,34,83,Hunter,Control,10,3,10,7,3,8,41,420
1550,18,104,92,51,64,54,Titan,Trials,1,10,9,5,6,5,36,383
1572,83,26,100,42,94,62,Hunter,Control,8,2,10,4,9,6,39,407
1570,103,38,104,36,34,100,Hunter,Control,10,3,10,3,3,10,39,415
1550,59,60,55,35,105,27,Titan,Control,5,6,5,3,10,2,31,341
1556,71,33,92,64,93,39,Titan,Trials,7,3,9,6,9,3,37,392
1551,88,37,79,53,80,59,Hunter,Trials,8,3,7,5,8,5,36,396
1560,58,35,106,91,90,25,Warlock,Trials,5,3,10,9,9,2,38,405
1559,57,37,100,60,91,46,Warlock,Trials,5,3,10,6,9,4,37,391
1558,55,44,103,73,36,50,Warlock,Trials,5,4,10,7,3,5,34,361
1558,27,104,53,30,76,38,Titan,Trials,2,10,5,3,7,3,30,328
1549,47,34,40,34,45,42,Warlock,Trials,4,3,4,3,4,4,22,242
1558,50,46,101,64,65,30,Warlock,Trials,5,4,10,6,6,3,34,356
1552,66,34,36,37,49,49,Warlock,Trials,6,3,3,3,4,4,23,271
1584,63,25,104,60,86,31,Warlock,Control,6,2,10,6,8,3,35,369
1524,100,30,101,41,32,101,Hunter,Control,10,3,10,4,3,10,40,405
1543,45,52,92,46,49,51,Titan,Control,4,5,9,4,4,5,31,335
1560,90,28,90,26,88,31,Hunter,Trials,9,2,9,2,8,3,33,353
1559,100,39,104,74,72,30,Warlock,Trials,10,3,10,7,7,3,40,419
1587,43,60,108,43,103,64,Warlock,Control,4,6,10,4,10,6,40,421
1581,100,23,67,51,53,32,Hunter,Control,10,2,6,5,5,3,31,326
1491,100,36,81,31,78,40,Hunter,Control,10,3,8,3,7,4,35,366
1579,70,62,103,83,55,29,Warlock,Survival,7,6,10,8,5,2,38,402
1560,103,51,52,47,68,52,Hunter,Trials,10,5,5,4,6,5,35,373
1570,100,23,89,46,44,54,Hunter,Control,10,2,8,4,4,5,33,356
1577,102,42,64,36,44,90,Hunter,Rumble,10,4,6,3,4,9,36,378
1540,87,54,104,52,78,55,Hunter,Control,8,5,10,5,7,5,40,430
1478,81,46,53,41,82,47,Hunter,Control,8,4,5,4,8,4,33,350
1559,22,79,104,105,28,39,Warlock,Trials,2,7,10,10,2,3,34,377
1559,38,90,100,62,69,46,Warlock,Trials,3,9,10,6,6,4,38,405
1559,81,53,104,102,55,52,Hunter,Trials,8,5,10,10,5,5,43,447
1564,52,70,28,83,36,82,Titan,Control,5,7,2,8,3,8,33,351
1571,104,51,41,41,100,30,Hunter,Control,10,5,4,4,10,3,36,367
1489,46,47,101,72,48,58,Warlock,Control,4,4,10,7,4,5,34,372
1562,60,46,41,66,49,47,Titan,Survival,6,4,4,6,4,4,28,309
1557,102,42,54,36,44,100,Hunter,Trials,10,4,5,3,4,10,36,378
1584,46,80,103,60,56,53,Titan,Survival,4,8,10,6,5,5,38,398
1557,30,52,103,38,90,38,Titan,Trials,3,5,10,3,9,3,33,351
1560,73,59,103,101,67,41,Titan,Trials,7,5,10,10,6,4,42,444
1543,100,23,101,33,65,49,Hunter,Control,10,2,10,3,6,4,35,371
1583,37,62,101,83,80,40,Titan,Control,3,6,10,8,8,4,39,403
1552,92,28,72,21,53,57,Hunter,Trials,9,2,7,2,5,5,30,323
1558,44,54,101,100,54,42,Warlock,Control,4,5,10,10,5,4,38,395
1560,49,90,101,46,91,59,Titan,Trials,4,9,10,4,9,5,41,436
1560,28,104,82,59,64,34,Titan,Trials,2,10,8,5,6,3,34,371
1532,78,94,79,47,94,43,Warlock,Trials,7,9,7,4,9,4,40,435
1552,61,73,61,106,61,48,Warlock,Trials,6,7,6,10,6,4,39,410
1518,54,54,100,60,70,30,Warlock,Control,5,5,10,6,7,3,36,368
1558,24,63,74,44,56,46,Titan,Trials,2,6,7,4,5,4,28,307
1556,62,65,73,94,50,16,Titan,Trials,6,6,7,9,5,1,34,360
1574,53,47,62,89,24,35,Hunter,Control,5,4,6,8,2,3,28,310
1560,47,41,101,86,102,48,Warlock,Trials,4,4,10,8,10,4,40,425
1551,101,29,99,60,66,30,Hunter,Trials,10,2,9,6,6,3,36,385
1556,100,22,100,34,84,41,Hunter,Trials,10,2,10,3,8,4,37,381
1553,43,74,103,60,47,61,Titan,Trials,4,7,10,6,4,6,37,388
1576,104,42,101,44,74,32,Hunter,Control,10,4,10,4,7,3,38,397
1475,101,20,100,70,70,43,Hunter,Control,10,2,10,7,7,4,40,404
1583,104,50,56,54,39,22,Hunter,Control,10,5,5,5,3,2,30,325
1573,53,51,100,72,91,51,Warlock,Control,5,5,10,7,9,5,41,418
1559,82,55,104,54,74,62,Titan,Trials,8,5,10,5,7,6,41,431
1558,102,25,102,101,50,58,Hunter,Control,10,2,10,10,5,5,42,438
1553,102,28,49,32,50,38,Warlock,Trials,10,2,4,3,5,3,27,299
1559,100,25,101,62,77,56,Hunter,Trials,10,2,10,6,7,5,40,421
1558,100,20,101,5,100,42,Warlock,Trials,10,2,10,0,10,4,36,368
1578,74,54,113,48,61,51,Warlock,Control,7,5,11,4,6,5,38,401
1552,41,64,51,49,49,28,Hunter,Trials,4,6,5,4,4,2,25,282
1585,44,54,101,100,54,42,Warlock,Control,4,5,10,10,5,4,38,395
1575,53,47,67,74,24,35,Hunter,Control,5,4,6,7,2,3,27,300
1560,107,36,100,25,103,52,Hunter,Trials,10,3,10,2,10,5,40,423
1565,93,30,96,44,75,27,Hunter,Control,9,3,9,4,7,2,34,365
1577,71,33,84,77,46,61,Hunter,Control,7,3,8,7,4,6,35,372
1535,23,33,84,101,42,39,Warlock,Control,2,3,8,10,4,3,30,322
1551,102,53,101,104,42,51,Hunter,Control,10,5,10,10,4,5,44,453
1560,100,25,101,62,67,56,Hunter,Trials,10,2,10,6,6,5,39,411
1591,49,90,101,46,91,59,Titan,Control,4,9,10,4,9,5,41,436
1560,100,40,101,105,38,22,Hunter,Trials,10,4,10,10,3,2,39,406
1500,92,36,100,72,48,35,Hunter,Control,9,3,10,7,4,3,36,383
1550,92,33,101,50,74,52,Warlock,Trials,9,3,10,5,7,5,39,402
1550,92,26,103,72,50,33,Hunter,Trials,9,2,10,7,5,3,36,376
1582,70,51,93,61,50,53,Hunter,Control,7,5,9,6,5,5,37,378
1549,43,29,100,106,90,36,Warlock,Control,4,2,10,10,9,3,38,404
1576,71,33,84,77,46,61,Hunter,Control,7,3,8,7,4,6,35,372
1559,102,16,105,92,20,49,Hunter,Trials,10,1,10,9,2,4,36,384
1557,32,63,37,36,76,86,Titan,Trials,3,6,3,3,7,8,30,330
1557,101,23,100,52,74,44,Hunter,Trials,10,2,10,5,7,4,38,394
1588,104,32,38,100,23,103,Hunter,Control,10,3,3,10,2,10,38,400
1556,104,32,101,82,51,46,Hunter,Trials,10,3,10,8,5,4,40,416
1585,46,83,71,81,43,26,Hunter,Control,4,8,7,8,4,2,33,350
1560,22,65,100,44,102,23,Titan,Trials,2,6,10,4,10,2,34,356
1554,24,61,101,23,72,102,Titan,Control,2,6,10,2,7,10,37,383
1585,103,33,110,32,108,24,Hunter,Control,10,3,11,3,10,2,39,410
1552,96,28,48,80,36,53,Hunter,Trials,9,2,4,8,3,5,31,341
1526,102,27,104,38,107,22,Hunter,Trials,10,2,10,3,10,2,37,400
1560,63,70,70,46,81,53,Titan,Trials,6,7,7,4,8,5,37,383
1583,103,22,100,81,34,53,Hunter,Control,10,2,10,8,3,5,38,393
1556,63,59,102,14,103,73,Titan,Trials,6,5,10,1,10,7,39,414
1573,97,31,91,94,37,42,Hunter,Control,9,3,9,9,3,4,37,392
1556,96,42,86,39,92,22,Hunter,Trials,9,4,8,3,9,2,35,377
1556,48,63,100,100,32,61,Warlock,Trials,4,6,10,10,3,6,39,404
1577,91,23,100,84,31,63,Hunter,Control,9,2,10,8,3,6,38,392
1580,44,97,49,47,85,56,Titan,Control,4,9,4,4,8,5,34,378
1513,101,22,94,42,80,80,Hunter,Control,10,2,9,4,8,8,41,419
1555,100,32,105,70,80,49,Hunter,Trials,10,3,10,7,8,4,42,436
1555,102,32,92,42,90,52,Hunter,Trials,10,3,9,4,9,5,40,410
1568,119,28,102,31,100,57,Hunter,Control,11,2,10,3,10,5,41,437
1560,38,94,42,31,102,51,Warlock,Trials,3,9,4,3,10,5,34,358
1574,27,56,101,90,58,24,Titan,Control,2,5,10,9,5,2,33,356
1570,34,84,55,59,75,17,Titan,Control,3,8,5,5,7,1,29,324
1560,47,36,106,68,47,47,Warlock,Trials,4,3,10,6,4,4,31,351
1514,55,39,90,102,30,55,Titan,Control,5,3,9,10,3,5,35,371
1559,72,47,100,87,74,52,Hunter,Trials,7,4,10,8,7,5,41,432
1560,101,29,100,102,33,18,Warlock,Trials,10,2,10,10,3,1,36,383
1575,102,35,66,79,62,29,Hunter,Control,10,3,6,7,6,2,34,373
1579,102,20,92,39,62,68,Hunter,Control,10,2,9,3,6,6,36,383
1555,101,24,105,38,101,55,Hunter,Trials,10,2,10,3,10,5,40,424
1559,104,26,100,71,57,30,Warlock,Trials,10,2,10,7,5,3,37,388
1560,63,44,100,100,74,54,Warlock,Trials,6,4,10,10,7,5,42,435
1572,104,100,52,37,100,61,Hunter,Control,10,10,5,3,10,6,44,454
1489,73,53,74,54,43,38,Warlock,Control,7,5,7,5,4,3,31,335
1581,38,73,100,100,32,61,Warlock,Control,3,7,10,10,3,6,39,404
1585,64,57,76,70,60,57,Warlock,Control,6,5,7,7,6,5,36,384
1567,99,52,54,63,55,44,Hunter,Control,9,5,5,6,5,4,34,367
1580,61,53,104,100,60,48,Warlock,Control,6,5,10,10,6,4,41,426
1581,70,31,100,102,71,38,Warlock,Control,7,3,10,10,7,3,40,412
1583,91,46,92,48,62,65,Hunter,Survival,9,4,9,4,6,6,38,404
1590,38,85,105,104,46,32,Titan,Control,3,8,10,10,4,3,38,410
1559,97,32,85,60,60,56,Hunter,Trials,9,3,8,6,6,5,37,390
1559,102,50,101,87,52,40,Hunter,Trials,10,5,10,8,5,4,42,432
1583,100,61,100,54,49,91,Hunter,Control,10,6,10,5,4,9,44,455
1582,101,52,100,42,70,81,Hunter,Survival,10,5,10,4,7,8,44,446
1584,104,26,102,24,100,69,Hunter,Survival,10,2,10,2,10,6,40,425
1493,82,53,101,101,56,54,Warlock,Control,8,5,10,10,5,5,43,447
1560,101,28,101,100,40,72,Hunter,Trials,10,2,10,10,4,7,43,442
1581,23,43,104,103,54,45,Warlock,Control,2,4,10,10,5,4,35,372
1560,103,30,101,103,54,50,Titan,Trials,10,3,10,10,5,5,43,441
1558,44,45,103,74,81,56,Warlock,Trials,4,4,10,7,8,5,38,403
1559,47,80,100,99,39,19,Titan,Trials,4,8,10,9,3,1,35,384
1559,101,29,93,32,81,55,Hunter,Trials,10,2,9,3,8,5,37,391
1530,23,46,58,77,31,33,Titan,Control,2,4,5,7,3,3,24,268
1571,41,33,72,69,63,51,Warlock,Control,4,3,7,6,6,5,31,329
1555,47,35,105,92,43,46,Warlock,Trials,4,3,10,9,4,4,34,368
1560,73,48,103,100,65,60,Hunter,Trials,7,4,10,10,6,6,43,449
1560,92,30,102,103,70,26,Hunter,Trials,9,3,10,10,7,2,41,423
1569,102,61,53,51,60,83,Hunter,Control,10,6,5,5,6,8,40,410
1560,101,40,100,35,100,52,Warlock,Trials,10,4,10,3,10,5,42,428
1555,57,44,105,103,89,30,Titan,Trials,5,4,10,10,8,3,40,428
1507,73,42,88,38,52,62,Warlock,Control,7,4,8,3,5,6,33,355
1583,55,52,102,73,64,58,Titan,Control,5,5,10,7,6,5,38,404
1580,101,23,101,104,50,23,Hunter,Control,10,2,10,10,5,2,39,402
1556,73,24,104,94,39,64,Hunter,Trials,7,2,10,9,3,6,37,398
1560,96,31,100,67,66,39,Hunter,Trials,9,3,10,6,6,3,37,399
1576,54,61,75,61,50,76,Titan,Control,5,6,7,6,5,7,36,377
1581,74,69,49,37,66,27,Hunter,Control,7,6,4,3,6,2,28,322
1553,51,80,100,47,85,44,Titan,Trials,5,8,10,4,8,4,39,407
1560,73,48,103,100,65,60,Hunter,Trials,7,4,10,10,6,6,43,449
1583,53,93,100,45,96,26,Titan,Control,5,9,10,4,9,2,39,413
1560,102,32,100,30,102,42,Hunter,Trials,10,3,10,3,10,4,40,408
1560,101,40,100,35,100,52,Warlock,Trials,10,4,10,3,10,5,42,428
1567,48,107,43,44,54,37,Warlock,Control,4,10,4,4,5,3,30,333
1560,90,36,100,35,100,22,Hunter,Trials,9,3,10,3,10,2,37,383
1500,105,29,47,101,33,62,Warlock,Control,10,2,4,10,3,6,35,377
1585,64,62,101,101,73,38,Titan,Control,6,6,10,10,7,3,42,439
1576,95,17,53,60,36,29,Hunter,Control,9,1,5,6,3,2,26,290
1580,101,23,101,104,50,23,Hunter,Control,10,2,10,10,5,2,39,402
1559,80,41,92,26,95,37,Hunter,Trials,8,4,9,2,9,3,35,371
1560,105,26,100,26,104,60,Hunter,Trials,10,2,10,2,10,6,40,421
1577,86,43,89,97,37,45,Hunter,Control,8,4,8,9,3,4,36,397
1541,100,16,80,48,41,61,Hunter,Control,10,1,8,4,4,6,33,346
1531,60,87,28,30,71,38,Warlock,Control,6,8,2,3,7,3,29,314
1569,63,91,90,60,66,72,Titan,Control,6,9,9,6,6,7,43,442
1575,100,22,100,64,37,72,Hunter,Control,10,2,10,6,3,7,38,395
1579,33,23,101,73,62,56,Warlock,Control,3,2,10,7,6,5,33,348
1560,53,40,100,72,80,63,Warlock,Trials,5,4,10,7,8,6,40,408
1586,102,32,100,30,102,42,Hunter,Control,10,3,10,3,10,4,40,408
1581,111,24,106,63,57,47,Hunter,Control,11,2,10,6,5,4,38,408
1587,67,40,100,104,75,42,Warlock,Control,6,4,10,10,7,4,41,428
1558,48,94,56,34,90,58,Titan,Trials,4,9,5,3,9,5,35,380
1560,43,40,104,106,52,53,Warlock,Trials,4,4,10,10,5,5,38,398
1560,51,41,101,103,40,72,Warlock,Trials,5,4,10,10,4,7,40,408
1467,56,38,95,30,115,38,Warlock,Control,5,3,9,3,11,3,34,372
1583,42,68,94,46,53,80,Titan,Control,4,6,9,4,5,8,36,383
1588,100,53,75,22,76,45,Hunter,Control,10,5,7,2,7,4,35,371
1584,107,24,100,40,90,32,Hunter,Control,10,2,10,4,9,3,38,393
1583,66,49,101,105,46,35,Hunter,Control,6,4,10,10,4,3,37,402
1571,66,64,71,57,55,28,Warlock,Control,6,6,7,5,5,2,31,341
1557,98,51,47,27,100,27,Hunter,Trials,9,5,4,2,10,2,32,350
1555,106,34,60,63,86,43,Hunter,Trials,10,3,6,6,8,4,37,392
1574,26,59,93,82,50,37,Warlock,Control,2,5,9,8,5,3,32,347
1560,50,40,59,73,65,63,Warlock,Trials,5,4,5,7,6,6,33,350
1552,61,45,102,43,62,69,Warlock,Trials,6,4,10,4,6,6,36,382
1560,89,44,93,74,74,56,Hunter,Trials,8,4,9,7,7,5,40,430
1577,34,73,104,58,100,27,Warlock,Control,3,7,10,5,10,2,37,396
1543,48,40,103,41,69,51,Titan,Control,4,4,10,4,6,5,33,352
1560,104,23,104,101,44,22,Hunter,Trials,10,2,10,10,4,2,38,398
1558,100,35,72,62,48,42,Hunter,Trials,10,3,7,6,4,4,34,359
1583,71,40,102,61,80,42,Warlock,Control,7,4,10,6,8,4,39,396
1577,100,43,90,70,82,41,Warlock,Control,10,4,9,7,8,4,42,426
1560,103,52,90,62,64,42,Hunter,Trials,10,5,9,6,6,4,40,413
1583,53,60,102,60,62,61,Warlock,Control,5,6,10,6,6,6,39,398
1583,72,90,102,22,103,61,Titan,Control,7,9,10,2,10,6,44,450
1551,103,26,93,33,83,62,Hunter,Trials,10,2,9,3,8,6,38,400
1547,103,77,37,43,38,67,Hunter,Control,10,7,3,4,3,6,33,365
